RegionID,RegionName,WarehouseLocation,ManagerName,ManagerEmail,Phone,ActiveWarehouses
error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,Cross Yashin,cyashin0@utexas.edu,721-238-8729,2
error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,Dallon Chitter,dchitter1@mayoclinic.com,378-752-8197,1
error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,Pierette Edsell,pedsell2@hc360.com,656-951-2991,2
error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,Brew Monteith,bmonteith3@merriam-webster.com,752-457-3468,2
error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,Erich Simoens,esimoens4@quantcast.com,836-132-6108,2
error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,Brade Tiller,btiller5@biglobe.ne.jp,629-480-7875,2
error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,Bil Govett,bgovett6@utexas.edu,631-865-0295,3
error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,Dallas Mancer,dmancer7@hhs.gov,415-639-0199,2
error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,Rhoda Skill,rskill8@alexa.com,692-994-8862,1
error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,Arvy Morse,amorse9@jigsy.com,234-145-5549,3
error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,Lonnie Genike,lgenikea@fda.gov,190-949-0424,2
error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,Dalila McNerlin,dmcnerlinb@wunderground.com,258-301-5537,1
error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,Erinn Kidston,ekidstonc@house.gov,160-835-5132,1
error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,Fidelio Capewell,fcapewelld@parallels.com,641-991-1967,3
